Air Quality Station Name,Year,Air Pollutant,value,Longitude,Latitude
Cork South Link Road Landfill,2020,PM10,14.852,-8.475,51.9111
Dublin Marino Brian Road,2020,PM10,13.008,-6.2279,53.3682
Waterford Waterford City Paddy Brownes Road,2020,PM10,14.247,-7.1516,52.2471
Dublin Ringsend recycling Centre,2020,PM10,17.339,-6.2141,53.3419
Dublin Finglas Mellowes Road,2020,PM10,11.883,-6.3053,53.3903
Dublin Inchicore Davitt Road,2020,PM10,15.251,-6.309,53.3363
Galway Galway City Rahoon Road,2020,PM10,12.566,-9.0859,53.2736
Dublin Phoenix Park Ordnance Survey Road,2020,PM10,10.442,-6.349,53.3644
Cork Ballinlough Heatherton Park,2020,PM10,11.329,-8.4571,51.8819
Louth Dundalk Meadow Grove,2020,PM10,12.646,-6.3926,54.0031
Clare Ennis Drumbiggle Road,2020,PM10,19.552,-8.9893,52.8432
Dublin Dun Laoghaire The Glen,2020,PM10,11.965,-6.1319,53.2858
Cavan Cavan Town Court House,2020,PM10,8.947,-7.3628,53.9936
Roscommon Roscommon Town County Council Offices,2020,PM10,10.488,-8.1944,53.6294
Tipperary Town,2020,PM10,12.234,-8.1564,52.4792
Wexford Enniscorthy Parnell Road,2020,PM10,14.851,-6.5708,52.4985
Westmeath Athlone,2020,PM10,15.526,-7.9377,53.4248
Carlow Carlow Town County Council Offices,2020,PM10,10.794,-6.9317,52.8397
Cork Cobh Carrignafoy,2020,PM10,13.032,-8.2878,51.855
Kerry Tralee Library,2020,PM10,15.836,-9.6979,52.2673
Wexford Wexford Town Opera House,2020,PM10,12.272,-6.4616,52.3374
Dublin Blanchardstown River Road,2020,PM10,15.204,-6.3699,53.3856
Donegal Letterkenny Library,2020,PM10,14.743,-7.7352,54.9545
Tipperary Clonmel,2020,PM10,11.52,-7.6994,52.3547
Kilkenny Seville Lodge,2020,PM10,18.461,-7.2681,52.6388
Mayo Claremorris,2020,PM10,9.95,-9.0127,53.7039
Laois Portlaoise Dublin Road,2020,PM10,12.044,-7.2887,53.0361
Monaghan Kilkitt Waterworks,2020,PM10,7.763,-6.8831,54.0661
Dublin Tallaght Old Bawn Road,2020,PM10,10.345,-6.3588,53.2805
Dublin Winetavern Street,2020,PM10,12.975,-6.2889,53.3417
Meath Navan,2020,PM10,13.758,-6.6893,53.6556
Offaly Birr,2020,PM10,9.834,-7.9085,53.0945
Dublin Kilmainham St. John's Road West,2020,PM10,13.122,-6.2948,53.3458
Mayo Castlebar John Moore Road,2020,PM10,14.39,-9.2997,53.8511
Cork Macroom Council Yard,2020,PM10,15.397,-8.9529,51.9047
Dublin Rathmines Wynnefield Road,2020,PM10,11.007,-6.2672,53.322
Limerick Peoples Park,2020,PM10,12.728,-8.6287,52.6586
Dublin Pearse St.,2020,PM10,NA,-6.2543,53.345
Cork Bishopstown MTU,2021,PM10,13.327,-8.533,51.8841
Dublin Phoenix Park Ordnance Survey Road,2021,PM10,11.947,-6.349,53.3644
Cork Ballinlough Heatherton Park,2021,PM10,11.401,-8.4571,51.8819
Waterford Waterford City Paddy Brownes Road,2021,PM10,13.732,-7.1516,52.2471
Dublin Finglas Mellowes Road,2021,PM10,11.832,-6.3053,53.3903
Cork South Link Road Landfill,2021,PM10,17.97,-8.475,51.9111
Galway Galway City Rahoon Road,2021,PM10,11.403,-9.0859,53.2736
Dublin Winetavern Street,2021,PM10,12.403,-6.2889,53.3417
Dublin Ringsend recycling Centre,2021,PM10,15.722,-6.2141,53.3419
Dublin Inchicore Davitt Road,2021,PM10,14.02,-6.309,53.3363
Dublin Raheny Saint Anne's Park,2021,PM10,10.806,-6.1726,53.3688
Dublin Marino Brian Road,2021,PM10,12.238,-6.2279,53.3682
Dublin Ballyfermot Library,2021,PM10,11.798,-6.3523,53.3405
Mayo Castlebar John Moore Road,2021,PM10,14.153,-9.2997,53.8511
Donegal Letterkenny Library,2021,PM10,14.679,-7.7352,54.9545
Monaghan Kilkitt Waterworks,2021,PM10,7.817,-6.8831,54.0661
Roscommon Roscommon Town County Council Offices,2021,PM10,10.318,-8.1944,53.6294
Louth Dundalk Meadow Grove,2021,PM10,11.731,-6.3926,54.0031
Wexford Wexford Town Opera House,2021,PM10,13.489,-6.4616,52.3374
Laois Portlaoise Dublin Road,2021,PM10,11.424,-7.2887,53.0361
Kilkenny Seville Lodge,2021,PM10,16.788,-7.2681,52.6388
Clare Ennis Drumbiggle Road,2021,PM10,19.002,-8.9893,52.8432
Cavan Cavan Town Court House,2021,PM10,10.618,-7.3628,53.9936
Offaly Birr,2021,PM10,12.206,-7.9085,53.0945
Wexford Enniscorthy Parnell Road,2021,PM10,13.652,-6.5708,52.4985
Kerry Tralee Library,2021,PM10,17.076,-9.6979,52.2673
Dublin Blanchardstown River Road,2021,PM10,14.155,-6.3699,53.3856
Carlow Carlow Town County Council Offices,2021,PM10,10.396,-6.9317,52.8397
Dublin Tallaght Old Bawn Road,2021,PM10,9.839,-6.3588,53.2805
Westmeath Athlone,2021,PM10,12.061,-7.9377,53.4248
Cork Cobh Carrignafoy,2021,PM10,12.004,-8.2878,51.855
Mayo Claremorris,2021,PM10,9.435,-9.0127,53.7039
Dublin Dun Laoghaire The Glen,2021,PM10,11.382,-6.1319,53.2858
Meath Navan,2021,PM10,13.476,-6.6893,53.6556
Tipperary Clonmel,2021,PM10,10.627,-7.6994,52.3547
Cork Macroom Council Yard,2021,PM10,14.578,-8.9529,51.9047
Tipperary Town,2021,PM10,12.651,-8.1564,52.4792
Limerick Peoples Park,2021,PM10,12.569,-8.6287,52.6586
Dublin Kilmainham St. John's Road West,2021,PM10,13.002,-6.2948,53.3458
Dublin Rathmines Wynnefield Road,2021,PM10,12.378,-6.2672,53.322
Dublin Finglas Mellowes Road,2022,PM10,11.847,-6.3053,53.3903
Dublin Inchicore Davitt Road,2022,PM10,14.137,-6.309,53.3363
Galway Galway City Rahoon Road,2022,PM10,12.587,-9.0859,53.2736
